Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
-2,-3,16,2,-4,-3,1,-128
1,2,2,-1,-2,-4,0,-128
0,-1,-32,-6,-4,-2,-2,-128
-4,-3,-10,-8,-1,0,-3,-128
-4,0,9,-5,1,-4,-1,-128
2,-2,-1,1,1,0,-4,-128
2,-1,-9,1,2,1,-1,-128
-4,-3,14,0,-2,-4,0,-128
0,-3,10,-2,1,2,0,-128
-4,1,10,-2,-1,-2,-2,-128
-2,1,6,-3,-1,-6,-1,-128
-2,1,-17,-4,-7,0,-2,-128
0,-2,6,-1,2,-2,-1,-128
1,0,-31,-2,-1,2,-3,-128
0,-2,5,-7,2,0,1,-128
-2,-1,21,6,1,-1,-4,-128
3,0,-18,-9,-4,-2,-3,-128
1,-2,-21,-6,-4,-3,0,-128
-2,3,8,1,0,2,3,-128
-2,-4,8,6,0,-4,-2,-128
2,-2,-5,-2,-1,-1,2,-128
-4,-4,-4,3,0,-4,-3,-128
-2,-4,-5,1,1,-1,-2,-128
-2,3,7,-1,-4,-1,0,-128
-4,-2,-5,1,0,0,-1,-128
-1,-2,-5,1,1,-2,3,-128
-1,-1,-4,-5,-4,0,-1,-128
-2,0,4,2,3,0,0,-128
0,1,-15,-2,-3,-2,-3,-128
-2,2,0,0,-2,-1,-3,-128
0,-4,-23,-4,-1,-2,-2,-128
-1,-1,-28,-3,3,1,-1,-128
1,-6,-5,-4,0,0,1,-128
-4,0,0,-4,-3,-4,-4,-128
-1,-3,-1,-5,-2,-1,-2,-128
-3,-1,3,-3,-7,0,-1,-128
1,-2,-14,2,1,-1,-2,-128
-1,-2,9,6,-1,-4,-2,-128
-3,-5,9,-11,-2,-1,-1,-128
-3,5,10,-1,-3,2,-1,-128
-2,-3,11,1,1,-3,-4,-128
0,-6,-16,3,0,-4,-1,-128
-2,0,-16,-1,1,-2,-3,-128
-2,-4,-6,-6,-1,-1,-2,-128
-1,-2,-1,-1,-2,0,-1,-128
-4,-1,0,0,-1,-5,-6,-128
-2,-2,0,2,-1,-1,-1,-128
-2,-5,2,-1,-4,-1,1,-128
0,0,0,-2,-4,-5,-2,-128
1,1,-10,2,0,-2,1,-128
-4,-3,49,0,0,2,1,-128
0,-4,-37,-4,-2,-3,-4,-128
-3,-4,6,3,-3,-5,-4,-128
-1,6,10,-2,-5,-3,-5,-128
2,0,4,0,-3,-1,1,-128
1,0,4,0,5,3,0,-128
0,-5,-5,-4,2,1,-3,-128
-1,-2,0,-1,-3,-1,-1,-128
-2,0,0,-2,0,-1,-2,-128
0,-3,-19,-2,-4,-1,-1,-128
-1,-4,-4,-6,-3,-5,-2,-128
1,-4,3,-1,-4,-6,-1,-128
-2,-2,8,1,-5,-3,-3,-128
-3,-6,-28,-8,-5,-4,-1,-128
-4,0,-6,1,-2,-1,-2,-128
-1,2,2,3,2,1,-3,-128
0,0,14,1,-4,1,-3,-128
-3,2,-6,7,-1,-5,0,-128
-3,-7,12,-12,-7,1,-2,-128
-7,-7,-12,-8,2,2,-2,-128
-4,-2,-3,-2,-4,-3,-4,-128
-1,3,5,5,-2,0,-1,-128
-3,-2,-8,-10,-1,0,-1,-128
-1,-3,1,2,-1,-1,-1,-128
0,-4,11,2,-1,-4,-2,-128
